Vendor,Vendor Type,Amount,Due Date,Transaction Date,Transaction Description
"Fleming, Hernandez and Hall",Payroll Provider,4447.66,16/11/2024,10/11/2024,Monthly payroll service fee - 116 employees
Glass PLC,Software,7875.95,21/09/2024,31/08/2024,Annual renewal - enterprise software suite
Hayden-Price,Consulting,5799.73,03/05/2025,25/03/2025,External expert engagement - operational efficiency
Orozco-Nguyen,Supplies,2617.85,14/04/2025,13/04/2025,Order of printer cartridges - Russellfurt office
"Dawson, Cox and Harmon",Consulting,4124.13,27/02/2025,28/01/2025,Consulting session - digital transformation
"Buckley, Gray and Norris",Legal,2630.93,28/07/2025,21/07/2025,Contract negotiation support - vendor deal
Boyd-Hamilton,Software,8987.26,23/08/2025,27/06/2025,Pro plan billing for cloud platform - 175 seats
Gomez Inc,Rent,3112.89,11/01/2025,17/11/2024,Building rental for company premises
"Sutton, Dunn and Roach",Payroll Provider,4265.07,26/09/2024,06/08/2024,Wages disbursed via payroll platform
"Lang, Nelson and Schroeder",Supplies,9968.99,04/02/2025,22/12/2024,"Monthly supply restocking - pens, paper, toner"
"Jennings, Campbell and Griffin",Legal,6073.86,13/02/2025,07/02/2025,Intellectual property review - annual check
"Gray, Frank and Spencer",Software,5238.07,22/02/2025,07/01/2025,Billing for API usage - developer plan
"Perez, Wiley and Owens",Payroll Provider,8836.13,11/04/2025,25/02/2025,Payroll charges for hourly workers - Lake Barbara site
Hobbs Ltd,Utilities,1646.66,06/08/2025,26/07/2025,Monthly internet charges - East Saramouth branch
Brewer Group,Payroll Provider,3498.18,05/04/2025,03/03/2025,Monthly payroll service fee - 78 employees
Blair Ltd,Consulting,5731.25,18/06/2025,10/05/2025,External expert engagement - operational efficiency
Garcia-Herrera,Utilities,2404.39,19/01/2025,25/12/2024,Phone and data plan charges - office use
Hammond Inc,Supplies,9614.48,25/08/2024,25/08/2024,Bulk stationery order - office essentials
"Miller, Harris and Bradley",Legal,1280.47,17/04/2025,24/02/2025,Legal advisory services - compliance audit
Lee-Jones,Legal,3513.89,04/12/2024,01/12/2024,Legal advisory services - compliance audit
Stewart-George,Software,6722.22,10/12/2024,24/11/2024,Billing for API usage - developer plan
Li Group,Legal,7151.13,24/11/2024,09/10/2024,Legal advisory services - compliance audit
Martinez-Maxwell,Payroll Provider,9712.08,30/12/2024,14/11/2024,Wages disbursed via payroll platform
Anderson Group,Supplies,2816.15,11/01/2025,19/11/2024,Breakroom and pantry supplies - monthly refill
Benton PLC,Rent,8726.69,05/08/2025,11/06/2025,Rental charge for workspace - downtown Bradleyborough
Macias-Smith,Rent,8334.69,21/05/2025,09/04/2025,Commercial space lease fee - Williamsmouth location
Banks-Maynard,Legal,8085.02,10/02/2025,11/01/2025,Document preparation and filing - legal team
Davies-Patterson,Consulting,2581.96,09/04/2025,17/02/2025,Project-based consulting fee - Port Lisa office
"Romero, Moses and Kelly",Legal,1220.07,14/11/2024,23/10/2024,Contract negotiation support - vendor deal
"Oconnor, Gonzalez and Lawrence",Supplies,2251.97,27/12/2024,15/12/2024,Bulk stationery order - office essentials
Ross-Smith,Payroll Provider,2394.05,21/07/2025,24/06/2025,Monthly payroll service fee - 31 employees
Fry-Gray,Utilities,239.35,29/10/2024,28/09/2024,Water and waste utility fee - West Caitlin facility
Baldwin and Sons,Utilities,5299.09,22/11/2024,05/11/2024,Phone and data plan charges - office use
Day-Gonzalez,Supplies,3127.63,19/02/2025,05/02/2025,"Monthly supply restocking - pens, paper, toner"
Manning and Sons,Software,8570.71,28/06/2025,23/05/2025,Pro plan billing for cloud platform - 183 seats
Rodriguez-Johnson,Utilities,7546.75,07/03/2025,19/01/2025,Monthly internet charges - West Natalie branch
Brown Ltd,Software,3217.94,24/12/2024,25/10/2024,Recurring license fee for SaaS product
Johnson and Sons,Rent,4026.51,13/08/2025,02/07/2025,Building rental for company premises
Brady-Parks,Legal,2277.75,29/08/2025,11/07/2025,Contract negotiation support - vendor deal
"Simmons, Simmons and Jones",Consulting,9679.62,10/12/2024,05/12/2024,Remote consulting workshop - Q&A session
"Marks, Baker and Johnson",Software,452.8,21/03/2025,21/01/2025,Monthly subscription for team access - 148 users
Frost Inc,Payroll Provider,838.1,01/10/2024,10/08/2024,Wages disbursed via payroll platform
Kennedy-Oliver,Utilities,3149.15,01/02/2025,05/01/2025,Phone and data plan charges - office use
"Berry, Figueroa and Williams",Rent,3895.25,25/04/2025,05/03/2025,Rental charge for workspace - downtown New Stephenshire
Woods-Castro,Payroll Provider,7234.47,28/07/2025,03/07/2025,Salary payment facilitation - full-time staff
Kline-Clark,Payroll Provider,4158.49,28/02/2025,26/02/2025,Monthly payroll service fee - 100 employees
"Mcclure, Craig and Tran",Payroll Provider,4539.28,21/04/2025,13/04/2025,Monthly payroll service fee - 93 employees
Romero LLC,Supplies,2065.08,06/07/2025,23/06/2025,Order of printer cartridges - Curryview office
"Mccann, Hartman and Nguyen",Legal,6042.76,19/08/2024,07/08/2024,Retainer for corporate legal services
Stevens-Edwards,Rent,6011.59,16/01/2025,14/01/2025,Commercial space lease fee - North Jenniferport location
Sherman PLC,Software,3667.44,20/09/2024,13/08/2024,Recurring license fee for SaaS product
Johnson-Shannon,Utilities,3543.97,21/10/2024,15/10/2024,Electricity bill for office - Lake Stephanie
Williams Inc,Utilities,5238.54,28/02/2025,17/01/2025,Phone and data plan charges - office use
Clark and Sons,Software,949.63,09/07/2025,03/06/2025,Billing for API usage - developer plan
"Martinez, Hunt and Jones",Supplies,2415.12,05/08/2025,18/07/2025,Purchase of ergonomic office accessories
"Garza, James and Mitchell",Marketing,2991.57,13/03/2025,10/02/2025,SEO and SEM services - lead generation
"Burns, Mendoza and Taylor",Utilities,5488.14,07/01/2025,17/12/2024,Monthly internet charges - Christopherland branch
"Johnson, Dixon and Mcintosh",Supplies,4691.26,04/10/2024,13/09/2024,Breakroom and pantry supplies - monthly refill
Wright-Smith,Rent,7238.3,20/06/2025,10/05/2025,Commercial space lease fee - Wuhaven location
Robinson-Matthews,Utilities,8804.59,26/05/2025,22/05/2025,Heating and cooling costs - company premises
"Shepherd, Pham and Hicks",Software,7164.44,07/01/2025,12/11/2024,Recurring license fee for SaaS product
"Perry, Morse and Perez",Utilities,5959.08,07/09/2025,31/07/2025,Monthly internet charges - Davisbury branch
"Burns, Kelly and Martinez",Legal,5431.94,18/11/2024,22/09/2024,Document preparation and filing - legal team
Oliver Group,Legal,839.69,26/04/2025,07/03/2025,Contract negotiation support - vendor deal
"Chen, Patel and Martinez",Supplies,4536.52,28/12/2024,08/12/2024,Purchase of ergonomic office accessories
Coffey PLC,Marketing,712.79,12/12/2024,05/12/2024,Email campaign services - customer outreach
Thomas-Munoz,Marketing,5863.6,13/11/2024,04/11/2024,Email campaign services - customer outreach
Garcia-Smith,Supplies,1431.33,09/10/2024,24/08/2024,Purchase of ergonomic office accessories
"Anderson, Jordan and Cooper",Consulting,222.18,15/08/2025,02/08/2025,Project-based consulting fee - Stevenstad office
Lowery-Young,Payroll Provider,1772.77,12/03/2025,29/01/2025,Wages disbursed via payroll platform
Sutton and Sons,Rent,5987.85,30/08/2025,17/07/2025,Monthly office rent payment - Santiagotown branch
Duncan PLC,Supplies,4582.96,17/02/2025,20/12/2024,Purchase of ergonomic office accessories
"Roberts, Bell and Carter",Legal,7660.94,10/11/2024,21/10/2024,Legal advisory services - compliance audit
Bennett-Carpenter,Software,3945.91,28/03/2025,27/01/2025,Recurring license fee for SaaS product
Snyder-Hurley,Marketing,3915.57,01/08/2025,31/07/2025,Content marketing retainer - monthly service
Smith-Hawkins,Marketing,8897.59,08/10/2024,30/08/2024,SEO and SEM services - lead generation
King PLC,Rent,8691.47,11/08/2025,27/06/2025,Commercial space lease fee - Kristinport location
Barnes-Murray,Rent,8075.2,17/06/2025,30/04/2025,Commercial space lease fee - Lake Jeremy location
Jones PLC,Utilities,6471.57,11/04/2025,27/02/2025,Heating and cooling costs - company premises
"Clark, Morgan and Burton",Software,263.78,13/01/2025,20/12/2024,Billing for API usage - developer plan
Evans-Ortiz,Supplies,7699.73,19/05/2025,29/04/2025,Purchase of ergonomic office accessories
Reyes and Sons,Software,2498.34,07/06/2025,29/04/2025,Annual renewal - enterprise software suite
"Torres, Lawson and Rasmussen",Marketing,565.94,09/03/2025,01/03/2025,Influencer collaboration fee - product promo
Williams PLC,Legal,8213.76,18/09/2024,30/08/2024,Contract negotiation support - vendor deal
"Herman, Murphy and Powell",Supplies,8139.26,21/02/2025,20/01/2025,Purchase of ergonomic office accessories
Winters LLC,Utilities,2979.12,14/06/2025,20/04/2025,Electricity bill for office - Port Scotttown
Dennis-Young,Payroll Provider,2266.36,10/09/2025,30/07/2025,Wages disbursed via payroll platform
Barnes Group,Marketing,6382.96,30/05/2025,01/04/2025,Ad campaign spend - LinkedIn ads
"Clark, Zamora and Morse",Rent,3945.28,21/11/2024,23/09/2024,Quarterly rent - Port James headquarters
"Brown, Gray and Crawford",Legal,909.31,23/04/2025,06/04/2025,Legal advisory services - compliance audit
"Vargas, Sandoval and Reed",Rent,7494.04,08/09/2024,14/08/2024,Monthly office rent payment - Johnburgh branch
Shelton PLC,Supplies,8405.54,30/07/2025,28/06/2025,Order of printer cartridges - South Danielhaven office
"Santiago, Willis and Thomas",Consulting,3092.88,16/09/2025,18/07/2025,Monthly retainer for strategic advisory
Williams-Gross,Consulting,7326.42,16/11/2024,24/09/2024,Project-based consulting fee - New Garyview office
"Gibson, Lewis and Cisneros",Payroll Provider,1042.41,02/11/2024,30/09/2024,Monthly payroll service fee - 118 employees
Taylor and Sons,Payroll Provider,1079.13,28/11/2024,23/11/2024,Monthly payroll service fee - 144 employees
"Kennedy, Weeks and Martin",Rent,4611.48,14/09/2025,04/08/2025,Commercial space lease fee - South Heidibury location
Richardson-Vaughan,Legal,5041.62,26/11/2024,26/11/2024,Document preparation and filing - legal team
Armstrong Inc,Consulting,9931.17,28/09/2024,23/09/2024,Remote consulting workshop - Q&A session
Mason and Sons,Software,8804.84,15/12/2024,11/11/2024,Pro plan billing for cloud platform - 104 seats
Brown LLC,Consulting,1555.5,13/11/2024,27/10/2024,Monthly retainer for strategic advisory
Pham PLC,Utilities,687.74,11/05/2025,21/03/2025,Monthly internet charges - Randyfurt branch
Brown Ltd,Payroll Provider,8387.68,21/10/2024,08/09/2024,Wages disbursed via payroll platform
Carter PLC,Legal,6363.01,29/05/2025,13/04/2025,Contract negotiation support - vendor deal
Shelton-Ramirez,Payroll Provider,498.31,17/01/2025,06/01/2025,Monthly payroll service fee - 197 employees
Hayes-Keller,Consulting,9157.42,19/08/2025,18/07/2025,Monthly retainer for strategic advisory
Sanders PLC,Supplies,653.38,07/06/2025,04/05/2025,Breakroom and pantry supplies - monthly refill
"Johnson, Mccormick and Bell",Legal,6706.19,09/03/2025,26/02/2025,Intellectual property review - annual check
"Kim, Ferguson and Mccarthy",Software,8111.21,28/09/2024,19/09/2024,Annual renewal - enterprise software suite
Mann Inc,Utilities,4844.3,12/06/2025,17/05/2025,Phone and data plan charges - office use
Morrison Inc,Payroll Provider,7453.64,21/08/2025,28/07/2025,Salary payment facilitation - full-time staff
Nelson-Ramsey,Payroll Provider,1980.86,24/11/2024,01/10/2024,Monthly payroll service fee - 38 employees
Stevenson-Baker,Rent,7588.3,22/03/2025,10/02/2025,Monthly office rent payment - Lake Kristenhaven branch
Torres-Moore,Software,7105.69,21/10/2024,15/09/2024,Recurring license fee for SaaS product
"Randall, Rodriguez and Walker",Supplies,8758.52,15/05/2025,03/04/2025,Breakroom and pantry supplies - monthly refill
Holmes LLC,Rent,7215.48,17/07/2025,18/05/2025,Monthly office rent payment - West Jennifer branch
Thompson-Fitzpatrick,Payroll Provider,3532.99,19/06/2025,07/06/2025,Payroll charges for hourly workers - East Katherine site
Thomas PLC,Utilities,5664.55,17/06/2025,11/06/2025,Electricity bill for office - Jamesburgh
"Gregory, Montgomery and Simmons",Supplies,800.26,12/02/2025,19/12/2024,Order of printer cartridges - New Diane office
Holt PLC,Rent,9519.05,30/05/2025,17/04/2025,Building rental for company premises
Buck LLC,Supplies,8083.94,18/12/2024,03/11/2024,Bulk stationery order - office essentials
"Baker, Anderson and Benson",Marketing,7168.47,05/11/2024,09/09/2024,Ad campaign spend - LinkedIn ads
Clark Group,Consulting,9094.57,26/06/2025,21/05/2025,Monthly retainer for strategic advisory
Davis-Peterson,Software,6354.37,10/01/2025,04/12/2024,Monthly subscription for team access - 119 users
Knapp-Green,Payroll Provider,8323.25,09/03/2025,06/02/2025,Wages disbursed via payroll platform
"Hernandez, Gomez and Perez",Supplies,9839.61,08/09/2024,10/08/2024,Breakroom and pantry supplies - monthly refill
Bishop-Gonzalez,Consulting,3519.75,30/11/2024,12/11/2024,External expert engagement - operational efficiency
Whitaker PLC,Consulting,6253.39,10/03/2025,17/01/2025,Remote consulting workshop - Q&A session
Rangel-Joyce,Marketing,3104.38,15/06/2025,04/05/2025,Email campaign services - customer outreach
Dixon-Stephens,Legal,9102.22,15/07/2025,12/06/2025,Retainer for corporate legal services
Moyer Inc,Legal,3054.55,28/03/2025,22/02/2025,Intellectual property review - annual check
Park Group,Legal,8919.16,02/08/2025,14/06/2025,Intellectual property review - annual check
"Contreras, Blevins and Meyer",Supplies,8012.63,28/08/2025,15/07/2025,Bulk stationery order - office essentials
"Meza, Schneider and Mayo",Consulting,9572.27,08/01/2025,25/12/2024,Monthly retainer for strategic advisory
Carter-Mcmahon,Rent,1554.12,26/01/2025,11/01/2025,Monthly office rent payment - Karabury branch
"Miller, Harris and Rivera",Software,4521.13,21/02/2025,04/01/2025,Recurring license fee for SaaS product
"Bridges, Bray and Hill",Software,1288.19,09/10/2024,05/10/2024,Pro plan billing for cloud platform - 160 seats
"Noble, Ramirez and Munoz",Software,3886.54,02/08/2025,26/07/2025,Annual renewal - enterprise software suite
"Macias, Patton and Lee",Software,6124.57,09/05/2025,30/04/2025,Annual renewal - enterprise software suite
Elliott-Smith,Legal,8242.7,21/08/2025,29/07/2025,Legal advisory services - compliance audit
Garcia and Sons,Rent,2161.84,20/02/2025,18/02/2025,Monthly office rent payment - Lorishire branch
Clark PLC,Supplies,526.27,23/02/2025,07/02/2025,"Monthly supply restocking - pens, paper, toner"
Johnson LLC,Software,8180.54,05/06/2025,22/04/2025,Recurring license fee for SaaS product
Mays-Reed,Supplies,7449.62,29/07/2025,05/07/2025,Purchase of ergonomic office accessories
Arnold Ltd,Legal,2418.92,11/03/2025,11/02/2025,Legal advisory services - compliance audit
Davenport-Keller,Legal,9686.01,13/01/2025,06/12/2024,Document preparation and filing - legal team
House-Brown,Utilities,2297.83,01/12/2024,31/10/2024,Phone and data plan charges - office use
Kelly Inc,Consulting,3899.77,31/12/2024,05/12/2024,External expert engagement - operational efficiency
"Morris, Harris and Robles",Consulting,8370.12,31/12/2024,08/12/2024,Monthly retainer for strategic advisory
David Inc,Legal,3311.88,29/05/2025,19/04/2025,Intellectual property review - annual check
Maddox-Snyder,Consulting,1882.15,13/11/2024,25/10/2024,Project-based consulting fee - Lopezborough office
Lambert-Clayton,Software,3074.85,07/01/2025,29/12/2024,Monthly subscription for team access - 42 users
Bell-Pacheco,Payroll Provider,2792.59,22/11/2024,02/11/2024,Payroll charges for hourly workers - Andersonview site
"Ferguson, Castillo and Brown",Payroll Provider,7198.75,11/10/2024,02/10/2024,Wages disbursed via payroll platform
Rivera-Boyd,Rent,3118.72,27/08/2025,25/07/2025,Monthly office rent payment - Rodriguezport branch
Hansen-Wilkinson,Software,1459.69,07/10/2024,20/08/2024,Monthly subscription for team access - 45 users
Reed LLC,Consulting,5602.28,22/01/2025,18/12/2024,Remote consulting workshop - Q&A session
James PLC,Utilities,2324.11,01/05/2025,09/04/2025,Monthly internet charges - North Brandonberg branch
"Cole, Salazar and Bates",Consulting,2255.02,05/01/2025,13/12/2024,Consulting session - digital transformation
Miller Inc,Legal,7014.08,11/04/2025,02/03/2025,Legal advisory services - compliance audit
"Johnson, Stuart and Robinson",Utilities,2026.17,13/12/2024,16/11/2024,Heating and cooling costs - company premises
Ritter-Shannon,Software,2131.22,23/11/2024,11/11/2024,Recurring license fee for SaaS product
Gay Inc,Supplies,8908.43,30/10/2024,30/09/2024,Order of printer cartridges - Robinville office
Carroll Ltd,Supplies,8182.25,14/04/2025,23/02/2025,"Monthly supply restocking - pens, paper, toner"
Cox Group,Software,4850.6,12/08/2025,13/06/2025,Monthly subscription for team access - 36 users
Young-Houston,Software,3398.46,14/11/2024,08/11/2024,Annual renewal - enterprise software suite
"Anderson, Jackson and Sampson",Supplies,979.72,01/03/2025,11/02/2025,Order of printer cartridges - Lake Vickihaven office
"Hudson, King and Jenkins",Payroll Provider,1119.86,09/10/2024,19/09/2024,Monthly payroll service fee - 79 employees
Davis and Sons,Rent,6161.66,18/10/2024,21/08/2024,Building rental for company premises
Brown-Williams,Payroll Provider,1855.86,28/02/2025,04/01/2025,Wages disbursed via payroll platform
Davidson Inc,Payroll Provider,4571.92,14/09/2025,27/07/2025,Payroll charges for hourly workers - Katherineton site
"Fischer, Caldwell and Good",Rent,7460.34,16/11/2024,29/09/2024,Monthly office rent payment - Johnsonfort branch
Lawrence-Koch,Utilities,9557.89,22/02/2025,03/01/2025,Phone and data plan charges - office use
"Graham, Hudson and Jones",Marketing,3128.82,02/07/2025,01/07/2025,SEO and SEM services - lead generation
Oliver Ltd,Utilities,3922.5,30/08/2024,29/08/2024,Water and waste utility fee - Jacksonfort facility
Pierce LLC,Supplies,8849.18,18/06/2025,12/06/2025,Purchase of ergonomic office accessories
"Smith, Gonzalez and Robertson",Marketing,4254.41,16/01/2025,08/01/2025,Ad campaign spend - Facebook ads
Perry and Sons,Utilities,3454.53,09/06/2025,18/04/2025,Electricity bill for office - West Jacobberg
Diaz Inc,Rent,2108.75,24/11/2024,17/11/2024,Commercial space lease fee - New Alex location
Payne LLC,Supplies,8503.56,25/06/2025,30/04/2025,Breakroom and pantry supplies - monthly refill
"Miller, Miller and Sims",Legal,1792.04,28/05/2025,22/05/2025,Retainer for corporate legal services
"Young, Spencer and Park",Software,6874.42,22/11/2024,23/10/2024,Billing for API usage - developer plan
"Sullivan, Davis and Stuart",Marketing,9762.35,07/01/2025,27/11/2024,Content marketing retainer - monthly service
Obrien Inc,Supplies,3897.07,19/04/2025,11/03/2025,Bulk stationery order - office essentials
"Gutierrez, Dominguez and Casey",Rent,3102.98,30/05/2025,09/04/2025,Monthly office rent payment - Kimberlychester branch
Jones-Gill,Rent,5214.39,06/07/2025,30/06/2025,Quarterly rent - New Alan headquarters
"Thomas, Cook and Perry",Legal,7513.38,13/04/2025,17/03/2025,Contract negotiation support - vendor deal
Hill LLC,Consulting,5361.25,05/05/2025,19/03/2025,Monthly retainer for strategic advisory
Stewart Ltd,Utilities,643.19,05/09/2025,23/07/2025,Monthly internet charges - Lisamouth branch
Jimenez Group,Legal,2053.36,27/08/2024,19/08/2024,Document preparation and filing - legal team
Cruz-Burns,Software,7885.46,05/06/2025,25/05/2025,Monthly subscription for team access - 120 users
"Vang, Johnson and Vega",Utilities,473.1,27/09/2024,05/09/2024,Monthly internet charges - Lake Ryan branch
"Hobbs, Garza and Sanchez",Utilities,7618.17,02/02/2025,08/01/2025,Water and waste utility fee - Taylorview facility
Shaw LLC,Software,9101.1,14/08/2025,04/07/2025,Annual renewal - enterprise software suite
Brown LLC,Software,2027.68,06/02/2025,30/12/2024,Pro plan billing for cloud platform - 8 seats
Parker LLC,Software,6028.48,28/10/2024,18/10/2024,Recurring license fee for SaaS product
"Ibarra, Brooks and Zuniga",Legal,4704.02,25/03/2025,03/02/2025,Document preparation and filing - legal team
Avery-Nguyen,Marketing,4228.22,04/10/2024,21/09/2024,Ad campaign spend - Facebook ads
"Thompson, Crawford and Richards",Consulting,8005.32,27/03/2025,24/02/2025,Monthly retainer for strategic advisory
Reyes Group,Software,2378.06,04/01/2025,08/11/2024,Monthly subscription for team access - 89 users
Oneill PLC,Payroll Provider,7920.47,25/11/2024,24/10/2024,Direct deposit processing - contractor payroll
Potter-Luna,Marketing,6125.77,09/10/2024,29/08/2024,Email campaign services - customer outreach
Salinas Inc,Payroll Provider,3250.27,03/04/2025,20/02/2025,Direct deposit processing - contractor payroll
Lawrence-Tucker,Software,2850.44,21/06/2025,24/04/2025,Monthly subscription for team access - 24 users
Washington LLC,Utilities,6079.6,21/09/2024,11/09/2024,Monthly internet charges - West Jessicahaven branch
Smith-Church,Supplies,7725.57,14/06/2025,16/05/2025,Breakroom and pantry supplies - monthly refill
Knapp LLC,Utilities,941.17,18/09/2024,26/08/2024,Electricity bill for office - South Eric
Young-Elliott,Legal,2648.86,15/02/2025,15/01/2025,Intellectual property review - annual check
Herrera Inc,Utilities,7333.01,11/02/2025,15/12/2024,Monthly internet charges - South Davidside branch
Williams-Johns,Consulting,4382.67,03/05/2025,15/03/2025,Project-based consulting fee - Bakerfurt office
Duke-Smith,Payroll Provider,4560.08,09/05/2025,15/03/2025,Direct deposit processing - contractor payroll
Golden-Mcclure,Rent,6581.18,30/01/2025,02/01/2025,Rental charge for workspace - downtown Kristaport
"King, Peters and Wilkinson",Consulting,1926.28,15/02/2025,21/01/2025,Monthly retainer for strategic advisory
Thomas-Scott,Rent,7723.31,26/03/2025,22/03/2025,Quarterly rent - South Jennifer headquarters
Moore-Scott,Marketing,4715.89,04/04/2025,03/04/2025,SEO and SEM services - lead generation
Ortiz-Harris,Consulting,1347.53,03/03/2025,30/01/2025,Remote consulting workshop - Q&A session
Garcia-Owen,Legal,227,22/08/2025,14/07/2025,Retainer for corporate legal services
Sparks Inc,Consulting,2389.68,22/03/2025,12/02/2025,Monthly retainer for strategic advisory
"Rose, Phillips and Fleming",Software,3873.3,01/07/2025,15/05/2025,Annual renewal - enterprise software suite
"James, Hernandez and Bradley",Consulting,8660.82,13/05/2025,21/03/2025,Project-based consulting fee - Garciastad office
"Lynch, Mcdaniel and Sullivan",Payroll Provider,5863.78,23/06/2025,26/04/2025,Payroll charges for hourly workers - Mckayburgh site
"Smith, Anderson and Gallagher",Supplies,1082.56,27/09/2025,31/07/2025,"Monthly supply restocking - pens, paper, toner"
Black-Williams,Utilities,1174.11,15/12/2024,13/11/2024,Water and waste utility fee - East Kennethland facility
Meyer-Palmer,Supplies,3552.65,30/01/2025,17/12/2024,Order of printer cartridges - Port Danielleview office
Lloyd LLC,Marketing,8649.92,27/11/2024,04/10/2024,Content marketing retainer - monthly service
Horton-Garner,Legal,4291.58,17/05/2025,21/03/2025,Retainer for corporate legal services
Williams-Lambert,Payroll Provider,332.43,27/10/2024,12/09/2024,Direct deposit processing - contractor payroll
Obrien-Smith,Rent,3960.21,14/05/2025,20/04/2025,Rental charge for workspace - downtown Lake James
Mooney-Green,Software,8362.14,06/10/2024,19/08/2024,Recurring license fee for SaaS product
Gonzalez-Jones,Consulting,3290.84,06/08/2025,16/06/2025,Project-based consulting fee - Baxterburgh office
King LLC,Utilities,2753.44,09/12/2024,06/11/2024,Heating and cooling costs - company premises
Cunningham and Sons,Legal,7426.1,11/05/2025,21/04/2025,Contract negotiation support - vendor deal
Grimes Ltd,Consulting,1953.36,05/11/2024,29/09/2024,Consulting session - digital transformation
"Hernandez, Barker and Williams",Supplies,5458.24,09/04/2025,27/03/2025,Bulk stationery order - office essentials
Hart Ltd,Supplies,8289.87,21/09/2024,07/09/2024,Purchase of ergonomic office accessories
Ryan Ltd,Rent,4598.1,07/04/2025,29/03/2025,Commercial space lease fee - Smithfort location
Todd-Hale,Legal,133.32,30/09/2024,28/08/2024,Intellectual property review - annual check
"Mcknight, Patterson and Miller",Rent,5101.89,07/04/2025,13/03/2025,Building rental for company premises
Thompson-Palmer,Consulting,7431.14,02/06/2025,15/04/2025,External expert engagement - operational efficiency
Hughes PLC,Payroll Provider,7965.96,17/05/2025,25/03/2025,Direct deposit processing - contractor payroll
Green Group,Rent,3461.79,21/09/2025,24/07/2025,Commercial space lease fee - Hamiltonside location
Adams Group,Software,5238.47,12/03/2025,23/01/2025,Pro plan billing for cloud platform - 14 seats
Salinas-Nguyen,Payroll Provider,9500.73,13/11/2024,03/11/2024,Salary payment facilitation - full-time staff
Patel-Craig,Rent,4017.42,20/10/2024,06/09/2024,Monthly office rent payment - South Terri branch
Armstrong and Sons,Payroll Provider,7156.32,03/10/2024,07/08/2024,Wages disbursed via payroll platform
Young-Thompson,Payroll Provider,5756.02,06/02/2025,18/12/2024,Direct deposit processing - contractor payroll
"Pena, Evans and Costa",Payroll Provider,5145.04,24/04/2025,30/03/2025,Salary payment facilitation - full-time staff
Adkins LLC,Marketing,1424.56,17/10/2024,22/09/2024,SEO and SEM services - lead generation
"Clark, Wood and Young",Rent,3173.89,09/01/2025,20/11/2024,Rental charge for workspace - downtown Kaylaberg
"Church, Ross and Austin",Software,2069.04,05/12/2024,28/10/2024,Pro plan billing for cloud platform - 91 seats
Gordon-Page,Payroll Provider,3636.04,06/05/2025,26/03/2025,Monthly payroll service fee - 68 employees
Cross-Hamilton,Supplies,1240.48,19/10/2024,07/10/2024,Order of printer cartridges - Gracestad office
Dudley PLC,Rent,6268.14,24/05/2025,14/04/2025,Rental charge for workspace - downtown West Julie
"Bailey, Carroll and Sanders",Marketing,9426.79,09/06/2025,06/05/2025,SEO and SEM services - lead generation
"Gibson, Lopez and Barnes",Marketing,9222.62,25/04/2025,22/03/2025,Ad campaign spend - LinkedIn ads
"Jones, Patel and Nicholson",Marketing,5466.32,02/03/2025,24/02/2025,Influencer collaboration fee - product promo
Williams and Sons,Legal,7987.13,21/05/2025,29/04/2025,Contract negotiation support - vendor deal
Acosta Group,Software,8437.26,03/09/2025,05/08/2025,Recurring license fee for SaaS product
Mcclure-George,Consulting,3763.3,01/08/2025,05/07/2025,Consulting session - digital transformation
Santiago PLC,Software,1105.36,26/12/2024,15/12/2024,Recurring license fee for SaaS product
"Ferguson, Webb and King",Marketing,1447.59,03/09/2025,27/07/2025,Email campaign services - customer outreach
Orr LLC,Rent,9444.66,14/12/2024,03/11/2024,Commercial space lease fee - Port Toni location
Walsh-Ritter,Marketing,4377,15/03/2025,28/02/2025,Influencer collaboration fee - product promo
White-Smith,Software,3096.7,03/06/2025,22/05/2025,Monthly subscription for team access - 26 users
Frazier-Higgins,Software,4193.9,22/10/2024,11/09/2024,Annual renewal - enterprise software suite
"Lee, Young and Morris",Supplies,9525.6,05/02/2025,10/01/2025,"Monthly supply restocking - pens, paper, toner"
Elliott PLC,Rent,3303.02,18/07/2025,20/06/2025,Commercial space lease fee - West Debrahaven location
Riggs-Walters,Consulting,5560.14,06/06/2025,18/04/2025,Remote consulting workshop - Q&A session
Jackson LLC,Legal,1281.36,10/05/2025,09/04/2025,Contract negotiation support - vendor deal
Jensen-Chapman,Software,652.56,24/09/2024,06/08/2024,Recurring license fee for SaaS product
"Sanders, Ortiz and Mcclain",Legal,5147.89,16/12/2024,17/10/2024,Contract negotiation support - vendor deal
Bradford PLC,Legal,5077.51,20/11/2024,19/10/2024,Legal advisory services - compliance audit
"Lewis, Davis and Baker",Legal,8474.07,18/04/2025,03/04/2025,Document preparation and filing - legal team
Yates-Moore,Utilities,2633.71,28/04/2025,27/04/2025,Heating and cooling costs - company premises
"Frederick, Hunter and Lee",Rent,8990.47,10/10/2024,31/08/2024,Rental charge for workspace - downtown Port Lisaberg
Fuller and Sons,Legal,2760.76,10/01/2025,13/11/2024,Retainer for corporate legal services
Suarez-Simon,Software,4427.79,13/05/2025,06/05/2025,Recurring license fee for SaaS product
"Davis, Peck and Garcia",Rent,5316.37,04/07/2025,19/06/2025,Commercial space lease fee - Fordton location
Silva-Miller,Legal,8250.51,25/03/2025,14/03/2025,Legal advisory services - compliance audit
